Ț,S_latitude,S_Longtitude,T_Latitude,T_Longtitude
G,36.20002771,127.4506629,36.20108249,127.448722
G,36.20108249,127.448722,36.27366365,127.4732619
G,36.27366365,127.4732619,36.2760824,127.4703185
G,36.20108249,127.448722,36.20002771,127.4506629
G,36.2760824,127.4703185,36.27366365,127.4732619
G,36.2760824,127.4703185,36.28003046,127.46826
Y,36.28003046,127.46826,36.28384459,127.4662681
Y,36.28384459,127.4662681,36.2859744,127.4652515
R,36.2859744,127.4652515,36.28943046,127.4633408
G,36.28003046,127.46826,36.2760824,127.4703185
G,36.28384459,127.4662681,36.28003046,127.46826
G,36.2859744,127.4652515,36.28384459,127.4662681
Y,36.28943046,127.4633408,36.2859744,127.4652515
G,36.27435503,127.4659844,36.27248321,127.4725144
G,36.2770964,127.4640211,36.27588728,127.4644703
G,36.27969856,127.4641228,36.2770964,127.4640211
G,36.28380406,127.4640176,36.27969856,127.4641228
G,36.28943046,127.4633408,36.28380406,127.4640176
G,36.27248321,127.4725144,36.27435503,127.4659844
G,36.27588728,127.4644703,36.2770964,127.4640211
G,36.2770964,127.4640211,36.27969856,127.4641228
G,36.27969856,127.4641228,36.28380406,127.4640176
Y,36.28380406,127.4640176,36.28943046,127.4633408
R,36.28943046,127.4633408,36.29004853,127.4631168
G,36.29004853,127.4631168,36.28943046,127.4633408
R,36.29004853,127.4631168,36.29581965,127.4605998
R,36.29581965,127.4605998,36.29004853,127.4631168
Y,36.30582549,127.4522886,36.30843443,127.4504199
Y,36.30459631,127.453528,36.30582549,127.4522886
Y,36.29947078,127.4580821,36.30459631,127.453528
Y,36.29581965,127.4605998,36.29947078,127.4580821
R,36.30843443,127.4504199,36.30582549,127.4522886
Y,36.30582549,127.4522886,36.30459631,127.453528
R,36.30459631,127.453528,36.29947078,127.4580821
Y,36.29947078,127.4580821,36.29581965,127.4605998
R,36.30843443,127.4504199,36.31171209,127.4430738
G,36.31171209,127.4430738,36.31275246,127.4413756
R,36.31275246,127.4413756,36.31527896,127.4403817
R,36.31171209,127.4430738,36.30843443,127.4504199
R,36.31275246,127.4413756,36.31171209,127.4430738
R,36.31527896,127.4403817,36.31275246,127.4413756
Y,36.3169824,127.456307,36.31717609,127.4598388
Y,36.31717609,127.4598388,36.31737799,127.460212
R,36.31717609,127.4598388,36.3169824,127.456307
Y,36.31737799,127.460212,36.31717609,127.4598388
Y,36.31737799,127.460212,36.31832065,127.462337
Y,36.31832065,127.462337,36.31737799,127.460212
G,36.31832065,127.462337,36.31849259,127.4637466
G,36.31849259,127.4637466,36.31832065,127.462337
G,36.31849259,127.4637466,36.31853861,127.4648351
G,36.31853861,127.4648351,36.31860706,127.4665209
G,36.31853861,127.4648351,36.31849259,127.4637466
G,36.31860706,127.4665209,36.31853861,127.4648351
R,36.31806262,127.4421704,36.32170015,127.4444452
Y,36.32170015,127.4444452,36.31806262,127.4421704
G,36.31860706,127.4665209,36.31864734,127.4673402
G,36.31864734,127.4673402,36.32008229,127.4709629
G,36.32008229,127.4709629,36.32274339,127.4722396
G,36.32274339,127.4722396,36.32597876,127.4732388
G,36.32597876,127.4732388,36.33262218,127.4776224
G,36.31864734,127.4673402,36.31860706,127.4665209
G,36.32008229,127.4709629,36.31864734,127.4673402
G,36.32274339,127.4722396,36.32008229,127.4709629
G,36.32597876,127.4732388,36.32274339,127.4722396
G,36.33262218,127.4776224,36.32597876,127.4732388
R,36.31950877,127.4490991,36.3169824,127.456307
R,36.32170015,127.4444452,36.31950877,127.4490991
R,36.3169824,127.456307,36.31950877,127.4490991
Y,36.31950877,127.4490991,36.32170015,127.4444452
R,36.32132168,127.4366126,36.32170446,127.4378794
Y,36.32170446,127.4378794,36.32132168,127.4366126
G,36.32407624,127.4459348,36.32170015,127.4444452
R,36.32170015,127.4444452,36.32407624,127.4459348
R,36.32272721,127.4421204,36.32170015,127.4444452
Y,36.32170015,127.4444452,36.32272721,127.4421204
R,36.32170446,127.4378794,36.32272721,127.4421204
Y,36.32272721,127.4421204,36.32170446,127.4378794
R,36.32407624,127.4459348,36.32658259,127.4445993
R,36.32658259,127.4445993,36.32407624,127.4459348
R,36.32658259,127.4445993,36.32733974,127.444183
R,36.32733974,127.444183,36.32934112,127.4430479
Y,36.32733974,127.444183,36.32658259,127.4445993
R,36.32934112,127.4430479,36.32733974,127.444183
R,36.32934112,127.4430479,36.33054662,127.4416065
R,36.33054662,127.4416065,36.33363356,127.4396268
R,36.33054662,127.4416065,36.32934112,127.4430479
R,36.33363356,127.4396268,36.33054662,127.4416065
R,36.33363356,127.4396268,36.33660431,127.4388644
R,36.33660431,127.4388644,36.33363356,127.4396268
G,36.33262218,127.4776224,36.33337699,127.4787201
G,36.33337699,127.4787201,36.33547116,127.4846678
G,36.34021824,127.49191,36.34099743,127.4922396
G,36.34099743,127.4922396,36.34203312,127.492497
G,36.33337699,127.4787201,36.33262218,127.4776224
G,36.33547116,127.4846678,36.33337699,127.4787201
G,36.34099743,127.4922396,36.34021824,127.49191
G,36.34203312,127.492497,36.34099743,127.4922396
R,36.33660431,127.4388644,36.33781149,127.4379869
R,36.33781149,127.4379869,36.33844992,127.4375287
Y,36.33781149,127.4379869,36.33660431,127.4388644
G,36.33844992,127.4375287,36.33781149,127.4379869
R,36.33844992,127.4375287,36.34077153,127.435934
Y,36.34077153,127.435934,36.33844992,127.4375287
R,36.34077153,127.435934,36.34751465,127.4320732
R,36.34751465,127.4320732,36.34077153,127.435934
G,36.34541418,127.4927316,36.34726678,127.4971819
G,36.34233318,127.4926021,36.34313684,127.4928629
G,36.34313684,127.4928629,36.34392887,127.4930613
G,36.34392887,127.4930613,36.34541418,127.4927316
G,36.34726678,127.4971819,36.34541418,127.4927316
G,36.34313684,127.4928629,36.34233318,127.4926021
G,36.34392887,127.4930613,36.34313684,127.4928629
G,36.34541418,127.4927316,36.34392887,127.4930613
R,36.34751465,127.4320732,36.34968578,127.4322072
R,36.34968578,127.4322072,36.35327212,127.4325489
R,36.35327212,127.4325489,36.35890881,127.4325081
R,36.34968578,127.4322072,36.34751465,127.4320732
R,36.35327212,127.4325489,36.34968578,127.4322072
R,36.35890881,127.4325081,36.35327212,127.4325489
G,36.34726678,127.4971819,36.39095856,127.5312011
G,36.39095856,127.5312011,36.42040881,127.5286806
G,36.39095856,127.5312011,36.34726678,127.4971819
G,36.42040881,127.5286806,36.39095856,127.5312011
G,36.2760824,127.4703185,36.27678443,127.4662357
G,36.27678443,127.4662357,36.2760824,127.4703185
G,36.27678443,127.4662357,36.2770964,127.4640211
G,36.2770964,127.4640211,36.27678443,127.4662357
G,36.27678443,127.4662357,36.27989796,127.4661246
G,36.27989796,127.4661246,36.27678443,127.4662357
G,36.27865115,127.4887433,36.28003046,127.46826
G,36.28003046,127.46826,36.27865115,127.4887433
G,36.27969856,127.4641228,36.27989796,127.4661246
G,36.27989796,127.4661246,36.27969856,127.4641228
G,36.27989796,127.4661246,36.28003046,127.46826
G,36.28003046,127.46826,36.27989796,127.4661246
Y,36.28384459,127.4662681,36.28380406,127.4640176
G,36.28380406,127.4640176,36.28384459,127.4662681
Y,36.30704593,127.4540275,36.30582549,127.4522886
G,36.30582549,127.4522886,36.30704593,127.4540275
G,36.31500143,127.4592896,36.31567903,127.4618664
G,36.31567903,127.4618664,36.31500143,127.4592896
G,36.31567903,127.4618664,36.31725268,127.4651965
G,36.31725268,127.4651965,36.31567903,127.4618664
G,36.31737799,127.460212,36.31567903,127.4618664
G,36.31567903,127.4618664,36.31737799,127.460212
Y,36.3169824,127.456307,36.31591837,127.4563778
R,36.31591837,127.4563778,36.31717609,127.4598388
R,36.31591837,127.4563778,36.3169824,127.456307
Y,36.31717609,127.4598388,36.31591837,127.4563778
R,36.3169824,127.456307,36.32140665,127.4588421
R,36.32140665,127.4588421,36.3169824,127.456307
G,36.31832065,127.462337,36.31768996,127.4625457
G,36.31768996,127.4625457,36.31832065,127.462337
R,36.31806262,127.4421704,36.31926781,127.4460232
G,36.31926781,127.4460232,36.31806262,127.4421704
R,36.32238456,127.4624783,36.31832065,127.462337
Y,36.31832065,127.462337,36.32238456,127.4624783
G,36.31849259,127.4637466,36.31860706,127.4665209
G,36.31860706,127.4665209,36.31849259,127.4637466
G,36.32140665,127.4588421,36.32238456,127.4624783
R,36.32238456,127.4624783,36.32140665,127.4588421
G,36.32140665,127.4588421,36.32398221,127.4593575
G,36.32398221,127.4593575,36.32140665,127.4588421
Y,36.32170446,127.4378794,36.32369158,127.4368088
G,36.32369158,127.4368088,36.32411993,127.4365775
R,36.32411993,127.4365775,36.32369158,127.4368088
R,36.32369158,127.4368088,36.32170446,127.4378794
G,36.32238456,127.4624783,36.32626646,127.4662312
G,36.32626646,127.4662312,36.32238456,127.4624783
Y,36.32773065,127.4617766,36.32238456,127.4624783
Y,36.32238456,127.4624783,36.32773065,127.4617766
R,36.32272721,127.4421204,36.32407624,127.4459348
R,36.32407624,127.4459348,36.32272721,127.4421204
G,36.32272721,127.4421204,36.32453763,127.4409664
G,36.32453763,127.4409664,36.32831828,127.4398793
Y,36.32831828,127.4398793,36.32453763,127.4409664
Y,36.32453763,127.4409664,36.32272721,127.4421204
R,36.32411993,127.4365775,36.32675368,127.435166
R,36.32675368,127.435166,36.32411993,127.4365775
G,36.32786352,127.4551342,36.32592246,127.4552103
G,36.32592246,127.4552103,36.32786352,127.4551342
G,36.32773065,127.4617766,36.32626646,127.4662312
G,36.32626646,127.4662312,36.32773065,127.4617766
G,36.32626646,127.4662312,36.33201571,127.4644919
G,36.33201571,127.4644919,36.32626646,127.4662312
R,36.32675368,127.435166,36.32628328,127.4339007
Y,36.32628328,127.4339007,36.32675368,127.435166
R,36.32628328,127.4339007,36.32844681,127.4326998
G,36.32844681,127.4326998,36.32628328,127.4339007
Y,36.32677362,127.449318,36.32658259,127.4445993
R,36.32658259,127.4445993,36.32677362,127.449318
R,36.32869574,127.4409641,36.32658259,127.4445993
R,36.32658259,127.4445993,36.32869574,127.4409641
R,36.32831828,127.4398793,36.32675368,127.435166
R,36.32675368,127.435166,36.32831828,127.4398793
R,36.32675368,127.435166,36.32888553,127.4339342
R,36.32888553,127.4339342,36.32675368,127.435166
R,36.32677362,127.449318,36.32719121,127.4515
G,36.32719121,127.4515,36.32677362,127.449318
Y,36.32677362,127.449318,36.32753521,127.4514133
G,36.32753521,127.4514133,36.32677362,127.449318
R,36.32934112,127.4430479,36.32677362,127.449318
G,36.32677362,127.449318,36.32934112,127.4430479
G,36.32719121,127.4515,36.32753521,127.4514133
G,36.32753521,127.4514133,36.32719121,127.4515
Y,36.32719121,127.4515,36.32785081,127.4542199
G,36.32785081,127.4542199,36.32719121,127.4515
R,36.33054662,127.4416065,36.32733974,127.444183
R,36.32733974,127.444183,36.33054662,127.4416065
G,36.32753521,127.4514133,36.32818518,127.4541748
R,36.32818518,127.4541748,36.32753521,127.4514133
Y,36.32809309,127.4592085,36.32773065,127.4617766
R,36.32773065,127.4617766,36.32809309,127.4592085
G,36.32773065,127.4617766,36.33052934,127.4633495
Y,36.33052934,127.4633495,36.32773065,127.4617766
G,36.32785081,127.4542199,36.32786352,127.4551342
R,36.32786352,127.4551342,36.32785081,127.4542199
R,36.32818518,127.4541748,36.32785081,127.4542199
R,36.32785081,127.4542199,36.32818518,127.4541748
R,36.32786352,127.4551342,36.32786643,127.4554903
Y,36.32786643,127.4554903,36.32786352,127.4551342
G,36.32786643,127.4554903,36.32809309,127.4592085
R,36.32809309,127.4592085,36.32786643,127.4554903
R,36.32818518,127.4541748,36.32786643,127.4554903
R,36.32786643,127.4554903,36.32818518,127.4541748
G,36.32809309,127.4592085,36.33103487,127.4610813
R,36.33103487,127.4610813,36.32809309,127.4592085
R,36.32818518,127.4541748,36.33182546,127.4556879
R,36.33182546,127.4556879,36.32818518,127.4541748
G,36.3285139,127.4404506,36.32831828,127.4398793
R,36.32831828,127.4398793,36.3285139,127.4404506
R,36.32831828,127.4398793,36.33321337,127.4376683
R,36.33321337,127.4376683,36.32831828,127.4398793
R,36.32888553,127.4339342,36.32844681,127.4326998
R,36.32844681,127.4326998,36.32888553,127.4339342
G,36.32869574,127.4409641,36.3285139,127.4404506
R,36.3285139,127.4404506,36.32869574,127.4409641
G,36.32869574,127.4409641,36.32934112,127.4430479
R,36.32934112,127.4430479,36.32869574,127.4409641
R,36.32888553,127.4339342,36.3311869,127.4326314
R,36.3311869,127.4326314,36.32888553,127.4339342
R,36.32934112,127.4430479,36.33385493,127.4457094
R,36.33385493,127.4457094,36.32934112,127.4430479
G,36.33103487,127.4610813,36.33052934,127.4633495
G,36.33052934,127.4633495,36.33103487,127.4610813
G,36.33052934,127.4633495,36.33201571,127.4644919
G,36.33201571,127.4644919,36.33052934,127.4633495
R,36.3311869,127.4326314,36.33074237,127.4314327
Y,36.33074237,127.4314327,36.3311869,127.4326314
R,36.33442487,127.4285398,36.33074237,127.4314327
Y,36.33074237,127.4314327,36.33442487,127.4285398
G,36.33103487,127.4610813,36.33275412,127.4620876
G,36.33275412,127.4620876,36.33103487,127.4610813
R,36.3311869,127.4326314,36.33577721,127.4306474
R,36.33577721,127.4306474,36.3311869,127.4326314
G,36.33201571,127.4644919,36.33354099,127.4635778
G,36.33354099,127.4635778,36.33201571,127.4644919
G,36.33262218,127.4776224,36.34883624,127.4742403
G,36.34883624,127.4742403,36.33262218,127.4776224
R,36.33310812,127.4259868,36.33442487,127.4285398
R,36.33442487,127.4285398,36.33310812,127.4259868
Y,36.33550118,127.4238041,36.33310812,127.4259868
R,36.33310812,127.4259868,36.33550118,127.4238041
G,36.33321337,127.4376683,36.33830596,127.4349307
G,36.33830596,127.4349307,36.33961837,127.4337909
G,36.33961837,127.4337909,36.33830596,127.4349307
Y,36.33830596,127.4349307,36.33321337,127.4376683
R,36.33385493,127.4457094,36.33642706,127.4472695
R,36.33642706,127.4472695,36.33385493,127.4457094
R,36.33385493,127.4457094,36.33660431,127.4388644
R,36.33660431,127.4388644,36.33385493,127.4457094
R,36.33442487,127.4285398,36.33577721,127.4306474
R,36.33577721,127.4306474,36.33442487,127.4285398
G,36.3364984,127.4260806,36.33442487,127.4285398
R,36.33442487,127.4285398,36.3364984,127.4260806
G,36.33550118,127.4238041,36.3364984,127.4260806
R,36.3364984,127.4260806,36.33550118,127.4238041
R,36.33550118,127.4238041,36.33666393,127.4229538
G,36.33666393,127.4229538,36.33550118,127.4238041
R,36.33577721,127.4306474,36.33808393,127.4296546
R,36.33808393,127.4296546,36.33577721,127.4306474
R,36.33642706,127.4472695,36.34199024,127.4482914
R,36.34199024,127.4482914,36.33642706,127.4472695
Y,36.3364984,127.4260806,36.33726749,127.4251821
G,36.33726749,127.4251821,36.3364984,127.4260806
R,36.3364984,127.4260806,36.33808393,127.4296546
R,36.33808393,127.4296546,36.3364984,127.4260806
Y,36.34065578,127.4211184,36.33760359,127.4247858
R,36.33760359,127.4247858,36.34065578,127.4211184
G,36.33781149,127.4379869,36.34000931,127.4428175
R,36.34000931,127.4428175,36.33781149,127.4379869
R,36.33875168,127.4314158,36.33808393,127.4296546
R,36.33808393,127.4296546,36.33875168,127.4314158
R,36.33808393,127.4296546,36.34061368,127.4261975
R,36.34061368,127.4261975,36.33808393,127.4296546
R,36.33844992,127.4375287,36.34086878,127.4419885
Y,36.34086878,127.4419885,36.33844992,127.4375287
R,36.33961837,127.4337909,36.33875168,127.4314158
R,36.33875168,127.4314158,36.33961837,127.4337909
R,36.34065578,127.4211184,36.33938265,127.4195425
